LO_Filename,LO_CrossSection,LO_Error,NLO_Filename,NLO_CrossSection,NLO_Error,Row_NLO/LO_Ratio
../submit_files/condorfiles/LO/result_WR2500_N1900/WRtoNLtoLLJJ_WR2500_N1900.log,0.009078,9.689e-05,../submit_files/condorfiles/NLO/result_WR2500_N1900_NLO/WRtoNLtoLLJJ_WR2500_N1900_NLO.log,0.01174,1.1e-05,1.2932363956818684
../submit_files/condorfiles/LO/result_WR2500_N2000/WRtoNLtoLLJJ_WR2500_N2000.log,0.006781,4.405e-05,../submit_files/condorfiles/NLO/result_WR2500_N2000_NLO/WRtoNLtoLLJJ_WR2500_N2000_NLO.log,0.008874,8.5e-06,1.3086565403332842
../submit_files/condorfiles/LO/result_WR2500_N2100/WRtoNLtoLLJJ_WR2500_N2100.log,0.004785,3.015e-05,../submit_files/condorfiles/NLO/result_WR2500_N2100_NLO/WRtoNLtoLLJJ_WR2500_N2100_NLO.log,0.006201,5.6e-06,1.295924764890282
../submit_files/condorfiles/LO/result_WR2500_N2200/WRtoNLtoLLJJ_WR2500_N2200.log,0.002927,1.771e-05,../submit_files/condorfiles/NLO/result_WR2500_N2200_NLO/WRtoNLtoLLJJ_WR2500_N2200_NLO.log,0.003846,3.6e-06,1.3139733515544927
../submit_files/condorfiles/LO/result_WR2500_N2300/WRtoNLtoLLJJ_WR2500_N2300.log,0.001494,1.508e-05,../submit_files/condorfiles/NLO/result_WR2500_N2300_NLO/WRtoNLtoLLJJ_WR2500_N2300_NLO.log,0.001966,1.8e-06,1.3159303882195446
../submit_files/condorfiles/LO/result_WR2500_N2400/WRtoNLtoLLJJ_WR2500_N2400.log,0.0005407,5.682e-06,../submit_files/condorfiles/NLO/result_WR2500_N2400_NLO/WRtoNLtoLLJJ_WR2500_N2400_NLO.log,0.0007045,6e-07,1.3029406325134087
../submit_files/condorfiles/LO/result_WR3000_N100/WRtoNLtoLLJJ_WR3000_N100.log,0.01266,0.0002831,../submit_files/condorfiles/NLO/result_WR3000_N100_NLO/WRtoNLtoLLJJ_WR3000_N100_NLO.log,0.016,1.7e-05,1.263823064770932
../submit_files/condorfiles/LO/result_WR3000_N200/WRtoNLtoLLJJ_WR3000_N200.log,0.01191,8.493e-05,../submit_files/condorfiles/NLO/result_WR3000_N200_NLO/WRtoNLtoLLJJ_WR3000_N200_NLO.log,0.01558,1.5e-05,1.308144416456759
../submit_files/condorfiles/LO/result_WR3000_N300/WRtoNLtoLLJJ_WR3000_N300.log,0.01145,8.693e-05,../submit_files/condorfiles/NLO/result_WR3000_N300_NLO/WRtoNLtoLLJJ_WR3000_N300_NLO.log,0.01515,1.4e-05,1.3231441048034935
../submit_files/condorfiles/LO/result_WR3000_N400/WRtoNLtoLLJJ_WR3000_N400.log,0.01121,7.566e-05,../submit_files/condorfiles/NLO/result_WR3000_N400_NLO/WRtoNLtoLLJJ_WR3000_N400_NLO.log,0.01476,1.5e-05,1.3166815343443354
